A,B,M,N,rhoa,k,err
11,1,9,8,0.500527,17.0434,0.03
11,1,8,7,0.504126,29.5635,0.03
11,1,7,6,0.502822,37.9119,0.03
11,1,6,5,0.503349,37.9516,0.03
11,1,5,4,0.501169,29.3901,0.03
11,1,4,3,0.502314,17.1042,0.03
11,1,3,2,0.406418,4.96916,0.03
12,2,11,10,0.554645,6.7815,0.03
12,2,10,9,0.461711,15.7216,0.03
12,2,9,8,0.500198,29.3331,0.03
12,2,8,7,0.504194,38.0153,0.03
12,2,7,6,0.503016,37.9265,0.03
12,2,6,5,0.502482,29.4671,0.03
12,2,5,4,0.502158,17.0989,0.03
12,2,4,3,0.477709,5.84082,0.03
13,3,12,11,0.490605,5.99849,0.03
13,3,11,10,0.487373,16.5954,0.03
13,3,10,9,0.503662,29.5363,0.03
13,3,9,8,0.500226,37.7162,0.03
13,3,8,7,0.504369,38.0286,0.03
13,3,7,6,0.502131,29.4465,0.03
13,3,6,5,0.503458,17.1432,0.03
13,3,5,4,0.444045,5.42922,0.03
14,4,13,12,0.554079,6.77458,0.03
14,4,12,11,0.459269,15.6385,0.03
14,4,11,10,0.504337,29.5759,0.03
14,4,10,9,0.503685,37.977,0.03
14,4,9,8,0.50038,37.7278,0.03
14,4,8,7,0.503463,29.5246,0.03
14,4,7,6,0.503085,17.1304,0.03
14,4,6,5,0.471153,5.76066,0.03
15,5,14,13,0.529754,6.47716,0.03
15,5,13,12,0.479619,16.3314,0.03
15,5,12,11,0.504131,29.5638,0.03
15,5,11,10,0.504339,38.0263,0.03
15,5,10,9,0.503831,37.9879,0.03
15,5,9,8,0.499471,29.2905,0.03
15,5,8,7,0.504411,17.1756,0.03
15,5,7,6,0.475582,5.81481,0.03
16,6,15,14,0.582897,7.12693,0.03
16,6,14,13,0.426572,14.5251,0.03
16,6,13,12,0.492801,28.8994,0.03
16,6,12,11,0.512766,38.6617,0.03
16,6,11,10,0.504477,38.0367,0.03
16,6,10,9,0.502904,29.4918,0.03
16,6,9,8,0.500396,17.0389,0.03
16,6,8,7,0.478908,5.85549,0.03
17,7,16,15,0.607507,7.42783,0.03
17,7,15,14,0.408869,13.9223,0.03
17,7,14,13,0.498043,29.2068,0.03
17,7,13,12,0.482325,36.3665,0.03
17,7,12,11,0.523344,39.4592,0.03
17,7,11,10,0.503559,29.5302,0.03
17,7,10,9,0.503847,17.1564,0.03
17,7,9,8,0.499265,6.10438,0.03
18,8,17,16,0.636896,7.78716,0.03
18,8,16,15,0.383917,13.0727,0.03
18,8,15,14,0.500313,29.3399,0.03
18,8,14,13,0.498028,37.5504,0.03
18,8,13,12,0.471994,35.5875,0.03
18,8,12,11,0.533884,31.3086,0.03
18,8,11,10,0.504495,17.1785,0.03
18,8,10,9,0.480963,5.88061,0.03
19,9,18,17,0.67346,8.23422,0.03
19,9,17,16,0.351701,11.9757,0.03
19,9,16,15,0.502762,29.4835,0.03
19,9,15,14,0.500289,37.7209,0.03
19,9,14,13,0.498129,37.5581,0.03
19,9,13,12,0.458954,26.9145,0.03
19,9,12,11,0.545536,18.576,0.03
19,9,11,10,0.481391,5.88584,0.03
20,10,19,18,0.712737,8.71445,0.03
20,10,18,17,0.317728,10.8189,0.03
20,10,17,16,0.502217,29.4516,0.03
20,10,16,15,0.502735,37.9053,0.03
20,10,15,14,0.500381,37.7279,0.03
20,10,14,13,0.497212,29.1581,0.03
20,10,13,12,0.446928,15.2183,0.03
20,10,12,11,0.537536,6.57232,0.03
21,11,20,19,0.63524,7.76691,0.03
21,11,19,18,0.399249,13.5947,0.03
21,11,18,17,0.503848,29.5472,0.03
