A,B,M,N,CURRENT,dV,k,rhoa,err
18,19,17,16,0.051000000000000004,3.3094410000000005,0.0,1228.68,1e-06
18,19,16,15,0.051000000000000004,0.9086568,0.0,1346.38,1e-06
18,19,15,14,0.051000000000000004,0.41030724,0.0,1515.47,1e-06
18,19,14,13,0.051000000000000004,0.20369145,0.0,1509.76,1e-06
18,19,13,12,0.051000000000000004,0.12363165000000001,0.0,1602.59,1e-06
18,19,12,11,0.051000000000000004,0.07432383000000001,0.0,1537.09,1e-06
18,19,11,10,0.051000000000000004,0.048233199000000004,0.0,1501.08,1e-06
18,19,10,9,0.051000000000000004,0.034110126000000004,0.0,1515.92,1e-06
18,20,10,8,0.051000000000000004,0.09604269,0.0,1420.85,0.001
18,20,8,6,0.051000000000000004,0.052224000000000007,0.0,1353.92,0.001
18,20,6,4,0.051000000000000004,0.031011723,0.0,1284.25,0.001
17,18,16,15,0.049,2.7475231,0.0,1054.56,0.001
17,18,15,14,0.049,0.9275651,0.0,1420.88,0.001
17,18,14,13,0.049,0.38452260000000005,0.0,1478.21,1e-06
17,18,13,12,0.049,0.20775461,0.0,1596.25,1e-06
17,18,12,11,0.049,0.1154636,0.0,1548.22,1e-06
17,18,11,10,0.049,0.07074424,0.0,1522.78,1e-06
17,18,10,9,0.049,0.04730783400000001,0.0,1526.85,1e-06
17,18,9,8,0.049,0.028098609,0.0,1291.86,0.001
17,19,9,7,0.052000000000000005,0.08839480000000001,0.0,1279.97,0.002
17,19,7,5,0.052000000000000005,0.05158545600000001,0.0,1307.6,0.002
17,19,5,3,0.052000000000000005,0.028964832,0.0,1176.42,0.002
16,17,15,14,0.05,3.46376,0.0,1302.87,0.002
16,17,14,13,0.05,1.0384900000000001,0.0,1569.53,0.001
16,17,13,12,0.05,0.465159,0.0,1755.98,0.002
16,17,12,11,0.05,0.22911950000000003,0.0,1725.19,0.001
16,17,11,10,0.05,0.130504,0.0,1725.51,0.002
16,17,10,9,0.05,0.082028,0.0,1734.52,0.002
16,17,9,8,0.05,0.0458744,0.0,1450.97,0.002
16,17,8,7,0.05,0.03343445,0.0,1515.61,0.002
16,18,8,6,0.051000000000000004,0.09647211000000001,0.0,1427.2,1e-06
16,18,6,4,0.051000000000000004,0.05219340000000001,0.0,1348.96,0.001
16,18,4,2,0.051000000000000004,0.029166084,0.0,1206.36,0.001
15,16,14,13,0.049,2.9705760000000003,0.0,1147.89,1e-06
15,16,13,12,0.049,0.9803528000000001,0.0,1511.91,0.001
15,16,12,11,0.049,0.40194651,0.0,1545.19,0.001
15,16,11,10,0.049,0.20471514,0.0,1579.28,0.001
15,16,10,9,0.049,0.11946298,0.0,1611.76,0.001
15,16,9,8,0.049,0.06313062000000001,0.0,1358.89,0.001
15,16,8,7,0.049,0.043635626999999996,0.0,1413.43,0.001
15,16,7,6,0.049,0.030743041000000002,0.0,1422.04,0.001
15,17,7,5,0.051000000000000004,0.09738501000000001,0.0,1440.71,1e-06
15,17,5,3,0.051000000000000004,0.050007234000000005,0.0,1296.45,1e-06
15,17,3,1,0.051000000000000004,0.027978549,0.0,1158.64,1e-06
14,15,13,12,0.052000000000000005,3.4656596000000004,0.0,1253.45,0.001
14,15,12,11,0.052000000000000005,1.0401248,0.0,1501.38,0.001
14,15,11,10,0.052000000000000005,0.44460416,0.0,1610.57,1e-06
14,15,10,9,0.052000000000000005,0.23153468000000002,0.0,1676.33,1e-06
14,15,9,8,0.052000000000000005,0.11367304000000002,0.0,1436.28,1e-06
14,15,8,7,0.052000000000000005,0.07428096000000001,0.0,1506.66,1e-06
14,15,7,6,0.052000000000000005,0.04975146800000001,0.0,1513.08,1e-06
14,15,6,5,0.052000000000000005,0.034413652,0.0,1490.91,1e-06
14,16,6,4,0.052000000000000005,0.09464832000000001,0.0,1370.52,0.001
14,16,4,2,0.052000000000000005,0.048859980000000004,0.0,1238.52,0.001
13,14,12,11,0.05,3.023755,0.0,1137.37,0.001
13,14,11,10,0.05,0.9650449999999999,0.0,1458.53,0.001
13,14,10,9,0.05,0.4216455,0.0,1591.71,0.001
13,14,9,8,0.05,0.18458000000000002,0.0,1389.83,0.001
13,14,8,7,0.05,0.1127465,0.0,1490.72,0.001
13,14,7,6,0.05,0.07130750000000001,0.0,1507.83,1e-06
13,14,6,5,0.05,0.0468651,0.0,1482.3,0.001
13,14,5,4,0.05,0.03048975,0.0,1382.12,0.001
13,15,5,3,0.052000000000000005,0.09218300000000001,0.0,1337.53,0.001
13,15,3,1,0.052000000000000005,0.047927932000000006,0.0,1214.89,0.001
12,13,11,10,0.049,3.1292478000000004,0.0,1209.2,1e-06
12,13,10,9,0.049,1.0106642000000001,0.0,1558.65,1e-06
12,13,9,8,0.049,0.37107602,0.0,1426.51,1e-06
12,13,8,7,0.049,0.20267086,0.0,1563.51,1e-06
12,13,7,6,0.049,0.11893819,0.0,1604.68,1e-06
12,13,6,5,0.049,0.07366464,0.0,1585.64,1e-06
12,13,5,4,0.049,0.045605623,0.0,1477.24,1e-06
12,13,4,3,0.049,0.031746512000000005,0.0,1468.46,1e-06
12,14,4,2,0.05,0.0891635,0.0,1345.46,1e-06
11,12,10,9,0.05,3.19984,0.0,1203.6,0.002
11,12,9,8,0.05,0.86311,0.0,1295.7,0.002
11,12,8,7,0.05,0.397482,0.0,1497.46,0.001
11,12,7,6,0.05,0.20742250000000004,0.0,1561.82,0.001
11,12,6,5,0.05,0.11903950000000002,0.0,1564.25,0.001
11,12,5,4,0.05,0.069441,0.0,1464.83,0.001
11,12,4,3,0.05,0.0459638,0.0,1453.8,0.001
11,12,3,2,0.05,0.03045805,0.0,1372.33,0.001
11,13,3,1,0.05,0.08886300000000001,0.0,1338.21,1e-06
10,11,9,8,0.049,2.6754392,0.0,1026.89,1e-06
10,11,8,7,0.049,0.9361940000000001,0.0,1443.8,1e-06
10,11,7,6,0.049,0.41001779000000005,0.0,1579.41,1e-06
10,11,6,5,0.049,0.20913543,0.0,1606.86,0.001
10,11,5,4,0.049,0.11305770000000001,0.0,1525.34,1e-06
10,11,4,3,0.049,0.07074669,0.0,1526.5,0.001
10,11,3,2,0.049,0.044632777000000005,0.0,1440.51,1e-06
10,11,2,1,0.049,0.030640729000000002,0.0,1417.31,0.001
9,10,8,7,0.05,3.39621,0.0,1286.11,1e-06
9,10,7,6,0.05,1.085355,0.0,1640.36,1e-06
9,10,6,5,0.05,0.45910399999999996,0.0,1729.62,1e-06
9,10,5,4,0.05,0.221108,0.0,1671.62,1e-06
9,10,4,3,0.05,0.128804,0.0,1703.03,1e-06
9,10,3,2,0.05,0.07694100000000001,0.0,1623.04,1e-06
9,10,2,1,0.05,0.050056500000000004,0.0,1588.98,1e-06
8,9,7,6,0.054,3.254499,0.0,1133.48,1e-06
8,9,6,5,0.054,1.0116144,0.0,1406.14,0.001
8,9,5,4,0.054,0.4086126,0.0,1425.37,0.001
8,9,4,3,0.054,0.21358997999999998,0.0,1489.13,0.001
8,9,3,2,0.054,0.1192671,0.0,1451.15,0.001
8,9,2,1,0.054,0.07421327999999999,0.0,1449.54,0.001
7,8,6,5,0.052000000000000005,3.1568836,0.0,1141.77,0.001
7,8,5,4,0.052000000000000005,0.9411792,0.0,1367.75,0.001
7,8,4,3,0.052000000000000005,0.41442232000000007,0.0,1504.28,0.002
7,8,3,2,0.052000000000000005,0.207844,0.0,1504.8,0.002
7,8,2,1,0.052000000000000005,0.12109552000000001,0.0,1539.53,0.002
6,7,5,4,0.055,3.144361,0.0,1082.49,0.002
6,7,4,3,0.055,1.0261734999999998,0.0,1409.93,0.002
6,7,3,2,0.055,0.43192215,0.0,1479.28,0.002
6,7,2,1,0.055,0.2250358,0.0,1546.65,0.002
5,6,4,3,0.054,3.372894,0.0,1174.72,1e-06
5,6,3,2,0.054,1.0396782,0.0,1445.15,0.001
5,6,2,1,0.054,0.44944416000000004,0.0,1567.8,0.001
4,5,3,2,0.053,3.1134161,0.0,1104.81,1e-06
4,5,2,1,0.053,0.9863564999999999,0.0,1406.36,0.001
3,4,2,1,0.053,3.1707992,0.0,1132.79,1e-06
