x,z,rho
41.23538178271864,-73.2712980058376,30.026801834374126
1.999999999095344,-1.1546797334176973,13.31378967914155
4.0,-0.5811650749363659,23.388705484010394
11.166666666666666,-2.1369107048519584,12.69275735973491
17.5,-0.3393979414524489,13.388434787928084
7.129445714414568,-1.969934303767863,10.516062582031118
34.5,-0.3393979414524489,4.507568195060196
10.942224962997756,-3.923152603391774,32.960237175783384
7.945463974032504,-3.5326349869972398,28.21615382309779
35.5,-0.5178849979266555,7.1405366558801235
3.0,-0.5773748303412148,20.664911737381036
18.5,-0.5178849979266555,12.922609701066344
49.5,-0.28867513563949504,32.362015376477515
9.0,-0.8572829393791045,9.99164309205866
9.5,-0.5178849979266555,11.232537289979751
5.5,-0.3393979414524489,21.769981604165224
4.5,-0.29246538023464613,24.7646003324939
7.397903914132267,-3.1637268369438907,22.80348504907696
3.5,-0.2886996947017198,25.630834711508143
8.5,-0.3393979414524489,12.60765573111528
4.347939909969686,-2.0671997271003186,7.376575862196122
10.0,-0.8572829393791045,6.483411469293904
16.927082991893077,-1.4656799804572982,10.287599331478676
4.662289949830374,-3.335122735078287,14.120621903094962
7.5,-0.29246538023464613,16.35019934925623
7.483774941784205,-5.106564912436362,41.87771012325045
10.5,-0.3393979414524489,12.139393315630244
50.0,-0.577350270234308,20.080970638021533
-0.2424288031913163,-1.29466687327813,16.571286611622465
13.0,-0.8572829393791045,14.066927165145895
12.5,-0.3393979414524489,14.468304373935766
21.963973736103895,-3.068033030498395,32.35112197288022
20.166666666666668,-2.1369107048519584,18.74432588632455
18.0,-0.8572829393791045,12.335371102700321
19.833333333333332,-1.597182584608035,13.110327471387658
28.166666666666668,-2.1369107048519584,16.409885394968835
16.5,-0.29246538023464613,17.279424519547153
22.5,-0.5178849979266555,7.9688667225390715
13.5,-0.5178849979266555,13.681489370449803
26.5,-0.5178849979266555,7.690728394425177
19.166666666666668,-1.597182584608035,11.580698250434684
19.5,-0.3393979414524489,10.76390665736151
14.5,-0.3393979414524489,16.142613762042032
21.5,-0.3393979414524489,9.686289247150675
22.0,-0.8572829393791045,9.665150485250212
20.0,-0.8572829393791045,11.890806643120992
38.833333333333336,-1.597182584608035,8.276482479574407
23.0,-0.8572829393791045,8.00070374408904
37.166666666666664,-2.1369107048519584,12.96942451411559
25.5,-0.3393979414524489,7.938572704296561
24.5,-0.29246538023464613,6.629212486882161
43.5,-0.5178849979266555,11.31208347257826
26.0,-0.8572829393791045,9.808004746031884
14.0,-0.8572829393791045,11.939474114103257
19.0,-0.8572829393791045,9.883057085341239
20.5,-0.5178849979266555,9.828297019082255
36.036026263896105,-3.068033030498395,19.197444771300994
27.469905783722314,-28.80441195769551,32.599081391393874
36.833333333333336,-1.597182584608035,10.788218333127354
27.0,-0.8572829393791045,10.070395868253668
27.5,-0.3393979414524489,9.740948552229266
37.5,-0.5178849979266555,10.697888924391133
37.0,-0.8572829393791045,9.536527741403011
29.5,-0.3393979414524489,8.06757494561114
31.0,-0.8572829393791045,6.089082940776591
35.0,-0.8572829393791045,5.359031622648441
30.5,-0.5178849979266555,6.188559266766233
31.5,-0.3393979414524489,4.728257664747461
30.0,-0.8572829393791045,8.099323022814922
36.166666666666664,-1.597182584608035,10.831268315507009
41.075624538811496,-2.4846706316843608,8.838354382386092
44.406250341440256,-1.6910995981493075,8.931863462872714
36.5,-0.3393979414524489,9.144253228175334
36.0,-0.8572829393791045,7.572168579860698
33.5,-0.29246538023464613,3.4226355733076246
50.50000000091557,-1.4468577099480369,5.600079312227392
47.5,-0.3393979414524489,19.50808063133628
39.0,-0.8572829393791045,11.352009000698471
12.833333333333334,-1.597182584608035,10.44802227885527
43.0,-0.8572829393791045,8.769756168653647
38.5,-0.3393979414524489,11.44139035343284
46.5,-0.2886996947017198,22.816605334870182
40.0,-0.8572829393791045,12.114141048432169
51.0,-0.5773502691896257,27.00625009103303
33.92708299189308,-1.4656799804572982,5.817395187663754
41.40236744467444,-3.5893572340702184,16.07878503696491
8.378786555130553,-1.6619648544860428,12.533968568646632
41.5,-0.29246538023464613,8.881932053875207
42.5,-0.3393979414524489,8.797895668089714
11.5,-0.5178849979266555,14.662835907591571
