A,B,M,N,CURRENT,dV
10,9,16,17,1.0,0.0431615
11,9,17,19,1.0,0.130811
11,9,19,21,1.0,0.0775217
11,9,21,23,1.0,0.050335
11,9,23,25,1.0,0.0349577
12,9,24,27,1.0,0.0682119
12,9,27,30,1.0,0.044076
12,9,30,33,1.0,0.0309803
13,9,33,37,1.0,0.0378521
13,9,37,41,1.0,0.0265999
14,9,39,44,1.0,0.0348413
14,9,44,49,1.0,0.0239818
15,9,45,51,1.0,0.032446
11,10,12,13,1.0,2.08546
11,10,13,14,1.0,0.515173
11,10,14,15,1.0,0.207281
11,10,15,16,1.0,0.106883
11,10,16,17,1.0,0.0655423
11,10,17,18,1.0,0.0433916
12,10,18,20,1.0,0.130291
12,10,20,22,1.0,0.0770278
12,10,22,24,1.0,0.0500862
12,10,24,26,1.0,0.0348884
13,10,25,28,1.0,0.066996
13,10,28,31,1.0,0.0457699
13,10,31,34,1.0,0.0291757
14,10,34,38,1.0,0.0372812
14,10,38,42,1.0,0.0264305
15,10,40,45,1.0,0.0355133
15,10,45,50,1.0,0.0239469
16,10,46,52,1.0,0.0324393
12,11,13,14,1.0,2.11632
12,11,14,15,1.0,0.510071
12,11,15,16,1.0,0.204146
12,11,16,17,1.0,0.108114
12,11,17,18,1.0,0.065612
12,11,18,19,1.0,0.043831
13,11,19,21,1.0,0.130777
13,11,21,23,1.0,0.075918
13,11,23,25,1.0,0.0496429
13,11,25,27,1.0,0.0343849
14,11,26,29,1.0,0.0657313
14,11,29,32,1.0,0.0468677
14,11,32,35,1.0,0.0288332
15,11,35,39,1.0,0.0379514
15,11,39,43,1.0,0.0263383
16,11,41,46,1.0,0.0344336
16,11,46,51,1.0,0.0239351
17,11,47,53,1.0,0.0323029
13,12,14,15,1.0,2.10183
13,12,15,16,1.0,0.510193
13,12,16,17,1.0,0.211601
13,12,17,18,1.0,0.106542
13,12,18,19,1.0,0.065016
13,12,19,20,1.0,0.0434012
14,12,20,22,1.0,0.132378
14,12,22,24,1.0,0.0775116
14,12,24,26,1.0,0.0506709
14,12,26,28,1.0,0.0349384
15,12,27,30,1.0,0.0687998
15,12,30,33,1.0,0.0449536
15,12,33,36,1.0,0.0289243
16,12,36,40,1.0,0.0377073
16,12,40,44,1.0,0.0262192
17,12,42,47,1.0,0.0348744
17,12,47,52,1.0,0.0240441
18,12,48,54,1.0,0.0319083
14,13,15,16,1.0,2.0969
14,13,16,17,1.0,0.51846
14,13,17,18,1.0,0.201742
14,13,18,19,1.0,0.109114
14,13,19,20,1.0,0.0658125
14,13,20,21,1.0,0.0447476
15,13,21,23,1.0,0.131435
15,13,23,25,1.0,0.0762918
15,13,25,27,1.0,0.0503152
15,13,27,29,1.0,0.0344237
16,13,28,31,1.0,0.0708249
16,13,31,34,1.0,0.0426811
16,13,34,37,1.0,0.0292863
17,13,37,41,1.0,0.0386737
17,13,41,45,1.0,0.0263455
18,13,43,48,1.0,0.0346392
18,13,48,53,1.0,0.0239585
19,13,49,55,1.0,0.0326323
15,14,16,17,1.0,2.1023
15,14,17,18,1.0,0.519842
15,14,18,19,1.0,0.207831
15,14,19,20,1.0,0.107455
15,14,20,21,1.0,0.0650869
15,14,21,22,1.0,0.0440899
16,14,22,24,1.0,0.130232
16,14,24,26,1.0,0.078039
16,14,26,28,1.0,0.049599
16,14,28,30,1.0,0.035949
17,14,29,32,1.0,0.0718829
17,14,32,35,1.0,0.0426584
17,14,35,38,1.0,0.0295304
18,14,38,42,1.0,0.0385432
18,14,42,46,1.0,0.0263543
19,14,44,49,1.0,0.0349047
19,14,49,54,1.0,0.0242865
20,14,50,56,1.0,0.0322163
16,15,17,18,1.0,2.0962
16,15,18,19,1.0,0.516881
16,15,19,20,1.0,0.208185
16,15,20,21,1.0,0.108956
16,15,21,22,1.0,0.0664087
16,15,22,23,1.0,0.044364
17,15,23,25,1.0,0.130347
17,15,25,27,1.0,0.0770822
17,15,27,29,1.0,0.0496096
17,15,29,31,1.0,0.0376392
18,15,30,33,1.0,0.0685285
18,15,33,36,1.0,0.0416304
18,15,36,39,1.0,0.0295678
19,15,39,43,1.0,0.0384779
19,15,43,47,1.0,0.0265252
20,15,45,50,1.0,0.035154
20,15,50,55,1.0,0.0241563
17,16,18,19,1.0,2.09847
17,16,19,20,1.0,0.521064
17,16,20,21,1.0,0.206496
17,16,21,22,1.0,0.108217
17,16,22,23,1.0,0.0655057
17,16,23,24,1.0,0.0436673
18,16,24,26,1.0,0.132221
18,16,26,28,1.0,0.0754634
18,16,28,30,1.0,0.052408
18,16,30,32,1.0,0.0358111
19,16,31,34,1.0,0.0661897
19,16,34,37,1.0,0.0431546
19,16,37,40,1.0,0.0290386
20,16,40,44,1.0,0.0383285
20,16,44,48,1.0,0.0264285
21,16,46,51,1.0,0.035233
21,16,51,56,1.0,0.0239049
18,17,19,20,1.0,2.11686
18,17,20,21,1.0,0.516728
18,17,21,22,1.0,0.206282
18,17,22,23,1.0,0.108696
18,17,23,24,1.0,0.0657401
18,17,24,25,1.0,0.0437756
19,17,25,27,1.0,0.131285
19,17,27,29,1.0,0.0753725
19,17,29,31,1.0,0.0537188
19,17,31,33,1.0,0.034406
20,17,32,35,1.0,0.0660592
20,17,35,38,1.0,0.0426606
20,17,38,41,1.0,0.0298408
21,17,41,45,1.0,0.0382607
21,17,45,49,1.0,0.0262098
22,17,47,52,1.0,0.0356689
19,18,20,21,1.0,2.10112
19,18,21,22,1.0,0.519901
19,18,22,23,1.0,0.206994
19,18,23,24,1.0,0.10702
19,18,24,25,1.0,0.0650387
19,18,25,26,1.0,0.0439259
20,18,26,28,1.0,0.131829
20,18,28,30,1.0,0.0790153
20,18,30,32,1.0,0.051839
20,18,32,34,1.0,0.0338446
21,18,33,36,1.0,0.0650483
21,18,36,39,1.0,0.0429886
21,18,39,42,1.0,0.0298311
22,18,42,46,1.0,0.0384169
22,18,46,50,1.0,0.0266404
23,18,48,53,1.0,0.0357654
20,19,21,22,1.0,2.09773
20,19,22,23,1.0,0.521028
20,19,23,24,1.0,0.206382
20,19,24,25,1.0,0.10745
20,19,25,26,1.0,0.0653847
20,19,26,27,1.0,0.0436379
21,19,27,29,1.0,0.129054
21,19,29,31,1.0,0.0832341
21,19,31,33,1.0,0.0489059
21,19,33,35,1.0,0.0333411
22,19,34,37,1.0,0.0651896
22,19,37,40,1.0,0.0430323
22,19,40,43,1.0,0.0292274
23,19,43,47,1.0,0.0394915
23,19,47,51,1.0,0.0265569
24,19,49,54,1.0,0.0358261
21,20,22,23,1.0,2.11294
21,20,23,24,1.0,0.525613
21,20,24,25,1.0,0.208907
21,20,25,26,1.0,0.108282
21,20,26,27,1.0,0.0657331
21,20,27,28,1.0,0.0433663
22,20,28,30,1.0,0.133651
22,20,30,32,1.0,0.0792051
22,20,32,34,1.0,0.048834
22,20,34,36,1.0,0.0336924
23,20,35,38,1.0,0.0662344
23,20,38,41,1.0,0.0426336
23,20,41,44,1.0,0.0297561
24,20,44,48,1.0,0.0388857
24,20,48,52,1.0,0.0267798
25,20,50,55,1.0,0.0357615
22,21,23,24,1.0,2.10288
22,21,24,25,1.0,0.51685
22,21,25,26,1.0,0.208739
22,21,26,27,1.0,0.10696
22,21,27,28,1.0,0.0659703
22,21,28,29,1.0,0.0436676
23,21,29,31,1.0,0.142668
23,21,31,33,1.0,0.0756304
23,21,33,35,1.0,0.0487062
23,21,35,37,1.0,0.0338535
24,21,36,39,1.0,0.0659539
24,21,39,42,1.0,0.0435967
24,21,42,45,1.0,0.0296559
25,21,45,49,1.0,0.0393397
25,21,49,53,1.0,0.0267863
26,21,51,56,1.0,0.0352097
23,22,24,25,1.0,2.08734
23,22,25,26,1.0,0.522098
23,22,26,27,1.0,0.204956
23,22,27,28,1.0,0.106192
23,22,28,29,1.0,0.0636525
23,22,29,30,1.0,0.0482759
24,22,30,32,1.0,0.139414
24,22,32,34,1.0,0.0748511
24,22,34,36,1.0,0.0477111
24,22,36,38,1.0,0.0345163
25,22,37,40,1.0,0.0666996
25,22,40,43,1.0,0.0429578
25,22,43,46,1.0,0.030089
26,22,46,50,1.0,0.0389807
26,22,50,54,1.0,0.0269266
24,23,25,26,1.0,2.10797
24,23,26,27,1.0,0.514013
24,23,27,28,1.0,0.205816
24,23,28,29,1.0,0.10629
24,23,29,30,1.0,0.0711435
24,23,30,31,1.0,0.0479073
25,23,31,33,1.0,0.131105
25,23,33,35,1.0,0.0742561
25,23,35,37,1.0,0.0486514
25,23,37,39,1.0,0.0348315
26,23,38,41,1.0,0.0662495
26,23,41,44,1.0,0.0438658
26,23,44,47,1.0,0.0303404
27,23,47,51,1.0,0.039032
27,23,51,55,1.0,0.0267373
25,24,26,27,1.0,2.09456
25,24,27,28,1.0,0.508685
25,24,28,29,1.0,0.201253
25,24,29,30,1.0,0.11719
25,24,30,31,1.0,0.0691788
25,24,31,32,1.0,0.0452716
26,24,32,34,1.0,0.132825
26,24,34,36,1.0,0.074881
26,24,36,38,1.0,0.0481706
26,24,38,40,1.0,0.0344336
27,24,39,42,1.0,0.0666657
27,24,42,45,1.0,0.0435892
27,24,45,48,1.0,0.0303398
28,24,48,52,1.0,0.0392768
28,24,52,56,1.0,0.0266704
26,25,27,28,1.0,2.08037
